nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,label
0.78621894,0.87021947,0.7801042,0.87738633,0.77937704,0.8753842,0.7547425,0.86347234,0.75545913,0.86047244,0.7497095,0.8122004,0.7793317,0.81107634,0.7556961,0.68825954,0.7984366,0.69402623,0.78506917,0.6002404,0.8078833,0.5847824,0.7335595,0.5786643,0.74406546,0.5759433,0.7438633,0.43917832,0.77175796,0.43098912,0.72000456,0.33020774,0.7472891,0.30311382,Bhujangasana
0.7752273,0.87912154,0.7615156,0.88218987,0.7638898,0.880481,0.74586654,0.85848904,0.7511187,0.8573169,0.74968785,0.8038533,0.78395736,0.803237,0.7541457,0.68630564,0.78687453,0.68783003,0.78530014,0.6061284,0.8075648,0.59034526,0.72953904,0.571646,0.74228215,0.5710942,0.74337554,0.4428535,0.77108294,0.43309897,0.7234162,0.32902282,0.7496727,0.30223575,Bhujangasana
0.65791464,0.8615759,0.6403765,0.85983056,0.64234,0.8587276,0.64424956,0.82822734,0.64882606,0.82355535,0.6637171,0.7666503,0.6844162,0.7744477,0.69224685,0.68377215,0.7217392,0.6856886,0.7291548,0.6884466,0.7901994,0.71407306,0.7270101,0.57550037,0.7418041,0.5790505,0.7306059,0.4471674,0.7649825,0.4385297,0.7114508,0.33847886,0.74507207,0.30224854,Bhujangasana
0.54132265,0.77455133,0.52862275,0.76944464,0.53124213,0.7663692,0.53488195,0.73544174,0.5422985,0.73210037,0.5913943,0.6947869,0.6027291,0.7044656,0.7022276,0.6816055,0.7106003,0.692023,0.7901218,0.682101,0.8155894,0.6921408,0.7280047,0.58369136,0.73758084,0.5865065,0.74445266,0.4423315,0.7665231,0.440847,0.7279879,0.32124206,0.75518066,0.28303623,Bhujangasana
0.521145,0.7424197,0.50864214,0.7340311,0.5115783,0.73260033,0.51677644,0.69815624,0.5259966,0.6977486,0.5847951,0.66713166,0.6019258,0.68908525,0.7118175,0.68287224,0.7222099,0.69837147,0.79206264,0.6794815,0.81715596,0.69587183,0.72813916,0.56653726,0.7380696,0.5730385,0.7438257,0.43495047,0.76785713,0.43700546,0.73842996,0.30998874,0.75618356,0.2871952,Bhujangasana
0.5205153,0.73893803,0.5082601,0.72613037,0.51169217,0.73075855,0.5174472,0.68950826,0.5291701,0.7001191,0.5846698,0.65937793,0.6073484,0.6893572,0.70897657,0.67625654,0.72238165,0.6964694,0.7933867,0.6752259,0.8159955,0.6934012,0.72976196,0.5669021,0.740018,0.5740442,0.7417071,0.43449324,0.7698502,0.4366628,0.73749334,0.3121878,0.7570388,0.2910284,Bhujangasana
0.5190677,0.71826696,0.508325,0.69669956,0.5108985,0.7153321,0.5222351,0.65730506,0.52837384,0.6988419,0.5875427,0.65289176,0.60725754,0.68975,0.7048517,0.6772336,0.72163385,0.7028062,0.775963,0.66853815,0.8150043,0.69470775,0.7281656,0.57046497,0.74183947,0.5883059,0.7386119,0.43894136,0.7641422,0.4414088,0.7389663,0.31572512,0.76076066,0.29355073,Bhujangasana
0.521278,0.7216146,0.50879055,0.7000948,0.511155,0.7164034,0.52145344,0.6578263,0.52803946,0.6982157,0.58732474,0.6518457,0.6036337,0.6894647,0.70700634,0.67513466,0.7203672,0.701022,0.7797047,0.6665806,0.8143719,0.69443417,0.7294371,0.57246727,0.74163646,0.59141415,0.73757935,0.4401573,0.7642504,0.4416954,0.73369765,0.32265353,0.759843,0.29426342,Bhujangasana
0.5293821,0.7450909,0.5162017,0.7321997,0.5203182,0.7370134,0.52375716,0.69314283,0.5336845,0.70894885,0.588246,0.6550585,0.61029935,0.69642144,0.711257,0.6791466,0.72423166,0.69827473,0.7899659,0.6752396,0.81222963,0.6956828,0.7309272,0.5719525,0.7436665,0.58740115,0.7389074,0.43753406,0.7699024,0.4397924,0.7371955,0.31800413,0.7614913,0.28233922,Bhujangasana
0.5355601,0.75772953,0.5225039,0.7503419,0.5252635,0.7485433,0.52919155,0.71369135,0.5386765,0.7112395,0.58885354,0.67164016,0.60507834,0.6967798,0.7107366,0.6778547,0.72108346,0.6938454,0.7884674,0.67807394,0.81083876,0.69410056,0.72668517,0.57558095,0.7400825,0.583727,0.7419962,0.4411512,0.7687287,0.43902996,0.7313284,0.3212426,0.75728333,0.2837562,Bhujangasana
